Wall time,Step,Value
1657045557.689323,0,3.5360400676727295
1657046239.741376,1,3.1883206367492676
1657046851.851504,2,2.8964898586273193
1657047394.646319,3,2.8088266849517822
1657047925.29166,4,2.628706216812134
1657048426.404878,5,2.55879282951355
1657048929.093043,6,2.4490880966186523
1657049430.4585721,7,2.4266326427459717
1657049930.2941482,8,2.2903354167938232
1657078243.199632,9,2.2574167251586914
1657079774.369813,10,2.1846299171447754
1657080324.814938,11,2.2440786361694336
1657080826.014233,12,2.1435694694519043
1657081327.711911,13,2.109816074371338
1657081830.199557,14,2.0658082962036133
1657082332.201059,15,2.149064064025879
1657082834.284026,16,2.1023032665252686
1657083334.730447,17,1.608296275138855
1657083835.591352,18,1.5045002698898315
1657084335.309919,19,1.484359860420227
1657084835.54133,20,1.498183250427246
1657085335.508716,21,1.4661821126937866
1657085835.393685,22,1.4046262502670288
1657086336.887206,23,1.3865306377410889
1657086837.067958,24,1.3962938785552979
1657087338.064976,25,1.3312840461730957
1657090061.931635,26,1.3692476749420166
1657092994.895814,27,1.3678210973739624
1657093933.848967,28,1.2777912616729736
1657095685.702069,29,1.29395592212677
1657105822.414215,30,1.300670862197876
1657106322.0663853,31,1.2839537858963013
1657106821.295892,32,1.2222378253936768
1657107329.223566,33,1.2501606941223145
1657107828.7722387,34,1.2730157375335693
1657108329.462749,35,1.280879020690918
1657108831.051267,36,1.2731354236602783
1657109332.482045,37,1.2768776416778564
1657109833.417569,38,1.2556030750274658
1657110334.024412,39,1.284874677658081
1657110835.337177,40,1.3059881925582886
1657111335.591309,41,1.2928211688995361
1657111836.015454,42,1.2442011833190918
1657112337.210559,43,1.26654851436615
1657112838.393763,44,1.2932145595550537
1657116303.697583,45,1.2443149089813232
1657116803.974205,46,1.3042551279067993
1657117304.298541,47,1.2868884801864624
1657117805.257118,48,1.3013944625854492
1657118307.557203,49,1.2793325185775757
