Wall time,Step,Value
1657217910.926719,0,2.46392560005188
1657222056.787371,1,2.190288782119751
1657222979.459579,2,2.0194385051727295
1657223889.105309,3,1.8842048645019531
1657224798.44627,4,1.7943991422653198
1657225708.09431,5,1.7050596475601196
1657226616.909988,6,1.6359308958053589
1657227526.956452,7,1.5924947261810303
1657228435.900615,8,1.5367484092712402
1657229346.337892,9,1.4686803817749023
1657230256.166396,10,1.437325358390808
1657231166.134442,11,1.3875296115875244
1657232075.9558852,12,1.3455344438552856
1657232985.142921,13,1.2968354225158691
1657233893.016485,14,1.259453535079956
1657234803.006301,15,1.2243353128433228
1657235712.70467,16,1.1961709260940552
1657236622.077008,17,1.155012607574463
1657237531.282268,18,1.1431961059570312
1657238441.199243,19,1.1177356243133545
1657239352.077078,20,1.045904517173767
1657240261.923265,21,1.0214565992355347
1657241171.869682,22,0.9899300336837769
1657242082.685407,23,0.9608044028282166
1657242992.851612,24,0.9335610866546631
1657243902.77714,25,0.8996686935424805
1657244811.662465,26,0.8802598714828491
1657245721.304274,27,0.862917423248291
1657246631.447263,28,0.8469749093055725
1657247542.211567,29,0.800142765045166
1657248451.496104,30,0.8081884384155273
1657249361.357859,31,0.7930843234062195
1657250270.291696,32,0.771733283996582
1657251180.26169,33,0.7531984448432922
1657252090.1442037,34,0.7254288792610168
1657252999.0323,35,0.723065972328186
1657253908.462327,36,0.7050666809082031
1657254818.362015,37,0.6840187311172485
1657270017.611561,38,0.6581771969795227
1657270927.296845,39,0.6566397547721863
1657271836.395052,40,0.6347588896751404
1657272746.919993,41,0.6329936385154724
1657273656.023156,42,0.6263610124588013
1657274565.254428,43,0.5969717502593994
1657275475.618628,44,0.5880796909332275
1657276384.5770218,45,0.5762806534767151
1657277294.374711,46,0.5712199807167053
1657278204.002648,47,0.5539315342903137
1657279113.926499,48,0.5448489189147949
1657280022.53061,49,0.5297089219093323
1657289909.223163,50,0.5312637686729431
1657290840.447704,51,0.516146183013916
1657291784.906499,52,0.5179483294487
1657292690.140902,53,0.4908195436000824
1657293594.987922,54,0.49229031801223755
1657294498.970263,55,0.49521416425704956
1657295403.13734,56,0.376944899559021
1657296308.963413,57,0.3182297348976135
1657297213.556223,58,0.29354217648506165
1657298117.543835,59,0.2707947790622711
1657299022.140904,60,0.25403591990470886
1657299926.016077,61,0.23988784849643707
1657300928.910047,62,0.22909873723983765
1657301830.553119,63,0.21724356710910797
1657311035.297239,64,0.20549604296684265
1657312070.04034,65,0.1987060308456421
1657312995.57835,66,0.18976794183254242
1657313910.5204773,67,0.18637245893478394
1657314824.50879,68,0.18115127086639404
1657315739.627739,69,0.17516301572322845
1657316653.613162,70,0.17111404240131378
1657317566.738733,71,0.16559982299804688
1657318481.719696,72,0.15987855195999146
1657319397.092593,73,0.1611482948064804
1657320310.918945,74,0.1542913168668747
1657321224.956783,75,0.1476898491382599
1657322138.614993,76,0.14763882756233215
1657323052.591121,77,0.14271180331707
1657323967.265081,78,0.13968521356582642
1657324881.488892,79,0.1401243507862091
1657325796.183175,80,0.13227854669094086
1657326711.4741213,81,0.1369086354970932
1657327625.502072,82,0.13149234652519226
1657328539.294144,83,0.12950265407562256
1657329454.27502,84,0.12916815280914307
1657330368.789106,85,0.124269038438797
1657331282.7556033,86,0.12411589175462723
1657332197.113288,87,0.12294551730155945
1657333109.948665,88,0.11678220331668854
1657334023.281768,89,0.11976137012243271
1657334936.867865,90,0.11794677376747131
1657335851.189519,91,0.11027167737483978
1657336765.037485,92,0.10781682282686234
1657337678.448836,93,0.10869846493005753
1657338592.693805,94,0.1092849001288414
1657339506.892506,95,0.10610775649547577
1657340420.549845,96,0.10359641164541245
1657341334.694424,97,0.10520917922258377
1657342248.700777,98,0.10387584567070007
1657343162.515253,99,0.10635396093130112
