Wall time,Step,Value
1656940627.926833,0,3.773179292678833
1656940956.720869,1,3.380420446395874
1656941276.926615,2,3.2126052379608154
1656941544.608505,3,2.964019775390625
1656941784.515041,4,2.9477202892303467
1656942030.721611,5,2.829300880432129
1656942257.920942,6,2.7124547958374023
1656942500.261453,7,2.6342923641204834
1656942732.009455,8,2.4772026538848877
1656942945.148732,9,2.545964002609253
1656943158.248436,10,2.5152132511138916
1656943371.097144,11,2.165445327758789
1656943582.603021,12,2.118281126022339
1656943795.579878,13,2.0982344150543213
1656944008.383328,14,2.072922706604004
1656944222.244333,15,2.0778560638427734
1656944434.95728,16,2.110424280166626
1656944647.42032,17,2.033836841583252
1656944859.138334,18,2.0499322414398193
1656945070.519027,19,1.9868241548538208
1656945283.119369,20,1.9739406108856201
1656945495.012432,21,1.945473074913025
1656945708.684471,22,1.9577393531799316
1656945921.029172,23,1.9314286708831787
1656946134.046222,24,2.0398333072662354
1656946347.150158,25,1.9658515453338623
1656946560.049535,26,1.9325939416885376
1656946773.338017,27,2.0365521907806396
1656946984.950151,28,1.9794460535049438
1656947197.944342,29,1.9596283435821533
1656947410.901454,30,2.0415632724761963
1656947623.966052,31,1.9857288599014282
1656947837.490233,32,1.9728044271469116
1656948050.227571,33,1.9775274991989136
1656948261.573323,34,1.9378776550292969
1656948474.363762,35,1.9452438354492188
1656948687.019545,36,2.027686595916748
1656948900.004315,37,2.0535387992858887
1656949113.11291,38,1.9490466117858887
1656949326.266752,39,2.020665168762207
1656949539.966467,40,1.987539529800415
1656949751.334079,41,2.0231165885925293
1656949962.679731,42,2.027597427368164
1656950175.214646,43,1.91660475730896
1656950388.454254,44,2.0026261806488037
1656950601.098109,45,1.9708030223846436
1656950813.837895,46,1.9395147562026978
1656951026.492799,47,2.0091278553009033
1656951239.796452,48,1.9673808813095093
1656951453.108683,49,2.026109218597412
